,AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
21,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-02-19,13.334929466247559,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
22,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-03-11,10.479503631591797,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
23,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-03-21,7.545940399169922,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
24,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-03-31,5.20853328704834,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
25,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-04-10,4.2515130043029785,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
26,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-04-25,1.9985206127166748,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
27,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-04-30,5.138354778289795,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
28,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-05-15,3.761930465698242,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
29,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-05-25,3.039869785308838,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
30,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-05-30,3.6364407539367676,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
31,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-06-04,1.1178557872772217,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
32,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-06-09,2.1003928184509277,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
33,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-06-29,2.9787378311157227,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
34,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-07-04,0.0,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
35,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-07-19,3.1416304111480713,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
36,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-07-24,1.4774978160858154,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
37,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-07-29,2.6888160705566406,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
38,"37.88,-8.91",PT,,Sines,Sines,,Object Counting,Sentinel-2,Sentinel 2 L1C,E1,,,Number of ships in 14.0 km x 14.0 km area,2019-08-03,1.9999967813491821,,,,Number of ships inferred,Changes in Ships traffic,GREEN,,,Weekly
